ship_to_code,child_sku_code,gsv
15109589,21148865,0.256
15109589,21148866,0.000
15109589,21148868,128.264
15109589,21148869,64.486
15109589,21148870,52.378
15109589,21149004,1.059
15109589,21149031,0.000
15109589,21149032,0.274
15109589,21149033,0.007
15109589,21149034,0.047
15109589,21149222,0.000
15109589,21150292,0.042
15109589,21150296,0.898
15109589,21150297,0.624
15109589,21150298,0.588
15109589,21150604,0.853
15109589,21150612,0.138
15109589,21150613,0.319
15109589,21150627,0.413
15109589,21150707,0.264
15109589,21151101,9.851
15109589,21151219,8.097
15109589,21151220,1.096
15109589,21151254,0.328
15109589,21151255,0.497
15109589,21151381,0.529
15109589,21151847,7.500
15109589,21152635,1.797
15109589,21152636,1.046
15109589,21152918,3.792
15109589,21152919,1.625
15109589,21153749,0.000
15109589,21153947,0.007
15109589,21154084,0.007
15109589,21154085,0.007
15109589,21155546,0.236
15109589,21181976,0.015
15109589,21181977,0.021
15109589,21182529,0.027
15109589,21182943,0.417
15109589,21182944,0.478
15109589,21182945,0.000
15109589,21183875,0.751
15109589,21183876,0.994
15109589,21183877,1.291
15109589,21183878,1.117
15109589,21183879,1.170
15109589,21183944,0.007
15109589,21184035,0.990
15109589,21184036,0.460
15109589,21184363,0.000
15109589,21185511,0.006
15109589,21188306,0.708
15109589,21188308,0.407
15109589,21188310,5.929
15109589,21188312,2.071
15109589,21188314,0.876
15109589,21188315,9.131
15109589,21188519,0.161
15109589,60035821,0.049
15109589,60035831,0.049
15109589,61062931,0.385
15109589,62052226,0.734
15109589,62072034,0.670
15109589,63003154,0.000
15109589,63070400,0.317
15109589,63070500,1.055
15109589,63603405,0.313
15109589,63603407,0.443
15109589,63914556,0.910
15109589,63914557,1.007
15109589,63914558,0.908
15109589,63914559,1.109
15109589,63914561,1.017
15109589,63914562,0.969
15109589,64019106,0.389
15109589,64019107,0.607
15109589,64019108,0.251
15109589,64019110,0.273
15109589,64019111,0.680
15109589,64019112,0.177
15109589,64026026,3.145
15109589,64028157,0.500
15109589,64028158,0.183
15109589,64028163,0.083
15109589,64028164,0.110
15109589,64028165,0.070
15109589,65000836,0.483
15109589,65000837,1.073
15109589,65000838,0.456
15109589,65000839,0.510
15109589,65000840,1.298
15109589,65000841,0.596
15109589,65000858,0.000
15109589,65001730,0.167
15109589,65001896,0.292
15109589,65001900,0.000
15109589,65001908,0.000
15109589,65002107,0.582
15109589,65002108,0.804
15109589,65002110,0.077
15109589,65002111,0.112
15109589,65002163,0.171
15109589,65002182,0.176
15109589,65002267,0.438
15109589,65002272,0.090
15109589,65002308,0.661
15109589,65002309,0.126
15109589,65002310,0.103
15109589,65002374,0.157
15109589,65002405,0.911
15109589,65002561,0.000
15109589,65002562,0.514
15109589,65002674,0.306
15109589,65002839,9.203
15109589,65002840,13.824
15109589,65002841,19.819
15109589,65002843,0.300
15109589,65002845,0.382
15109589,65002847,0.763
15109589,65002849,1.149
15109589,65002851,0.383
15109589,65002853,0.316
15109589,65003013,0.333
15109589,65003185,0.319
15109589,65003211,0.654
15109589,65003245,0.045
15109589,65003249,0.000
15109589,65003272,0.042
15109589,65003277,0.000
15109589,65003286,0.007
15109589,65003334,0.083
15109589,65003376,0.596
15109589,65003465,0.077
15109589,65004200,0.347
15109589,65004201,2.000
15109589,65004308,2.766
15109589,65004310,1.635
15109589,65004313,0.882
15109589,65004314,0.677
15109589,65004319,2.019
15109589,65004320,2.403
15109589,65004321,1.299
