sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp
21001514,KNORR MEALMAKER ADOBO 96X35G,96,4800888605337,24800888605331,1534.29,1718.40,17.90,20.00
21001515,KNORR MEALMAKER KAREKARE 96X40G,96,4800888605344,24800888605348,1911.43,2140.80,22.30,25.00
21019617,KNORR MEALMAKER KALDERETA 96x45G,96,4800888605641,24800888605645,1911.43,2140.80,22.30,25.00
21002846,KNORR MEALMAKER AFRITADA 96X35G,96,4800888603418,24800888603412,1911.43,2140.80,22.30,25.00
21002844,KNORR MEALMAKER GINATAANG GULAY 96X33G,96,4800888603371,24800888603375,1148.57,1286.40,13.40,15.00
21002845,KNORR MEALMAKER GINATAANG GULAY 96X45G,96,4800888603364,24800888603368,1997.14,2236.80,23.30,26.00
21002847,KNORR MEALMAKER MENUDO 96X35G,96,4800888603401,24800888603405,1911.43,2140.80,22.30,25.00
65025121,KNORR BLN PORK CUBE DSPNSR 192x20G,192,4800888601063,24800888601067,1731.43,1939.20,10.10,11.05
65004486,KNORR BLN CHCKN CUBE DISPNSR 288X20G,288,4800888601018,24800888601012,2597.14,2908.80,10.10,11.05
65025121,KNORR BLN PORK CUBE DSPNSR 192x20G,192,4800888601063,24800888601067,1731.43,1939.20,10.10,11.05
21050314,KNORR CUBE BEEF DISPENSERS 288X20G,288,4800888600981,24800888600985,2597.14,2908.80,10.10,11.05
21050315,KNORR CUBE SHRIMP DISPENSERS 192X20G,192,4800888601094,24800888601098,2057.14,2304.00,12.00,13.00
65004578,KNORR BLN CHCKN CUBE SINGLES 48X12X10G,576,4800888602718,24800888602712,2314.29,2592.00,4.50,5.00
21031404,KNORR CUBE CHICKEN PANTRY 72X60G,72,4800888601025,24800888601029,1761.43,1972.80,27.40,29.90
21031405,KNORR CUBE CHICKEN SAVERS 36X120G,36,4800888601032,24800888601036,1751.79,1962.00,54.50,59.45
21031406,KNORR CUBE PORK PANTRY 72X60G,72,4800888601070,24800888601074,1761.43,1972.80,27.40,29.90
21031407,KNORR CUBE PORK SAVERS PH 36X120G,36,4800888601087,24800888601081,1751.79,1962.00,54.50,59.45
65025118,KNORR BLN PORK CUBE SNGLS 48x12x10G,576,4800888602725,24800888602729,2314.29,2592.00,4.50,5.00
21031412,KNORR CUBE BEEF PANTRY PH 72X60G,72,4800888600998,24800888600992,1761.43,1972.80,27.40,29.90
21031411,KNORR CUBE BEEF SAVERS PH 36X120G,36,4800888601001,24800888601005,1751.79,1962.00,54.50,59.45
21050313,KNORR CUBE BEEF SINGLES 576X10G,576,4800888602732,24800888602736,2314.29,2592.00,4.50,5.00
21031408,KNORR CUBE FISH PANTRY PH 72X60G,72,4800888601056,24800888601050,2057.14,2304.00,32.00,35.00
21031409,KNORR CUBE SHRIMP PANTRY PH 72X60G,72,4800888601100,24800888601104,2057.14,2304.00,32.00,35.00
21031410,KNORR CUBE TAMARIND PANTRY PH 72X60g,72,4800888601124,24800888601128,2057.14,2304.00,32.00,35.00
65004585,KNORR SNGNG ORGNL MP 12X12X20G,12,4800888602787,24800888602781,1350.00,1512.00,126.00,138.00
20304737,KNORR SINIGANG MISO 12X(12X25G),144,4800888600219,24800888600213,1491.43,1670.40,11.60,12.50
20304739,KNORR SINIGANG GABI 12X(12X22G),144,4808680652146,14808680652143,1491.43,1670.40,11.60,12.50
65004554,KNORR SNGNG GABI 144X44G,144,4800888602251,24800888602255,2481.43,2779.20,19.30,20.50
20304738,KNORR SINIGANG SILI 12X(12X22G),144,4808680652245,14808680652242,1491.43,1670.40,11.60,12.50
65004624,KNORR SNGNG ORGNL ISDA 24X12X10G,288,4800888603180,24800888603184,1028.57,1152.00,4.00,4.40
20304736,KNORR SINIGANG SAM ORIG 12X(12X20G),144,4800888600790,24800888600794,1350.00,1512.00,10.50,11.50
20304735,KNORR SINIGANG SAM ORIG 144X40G,144,4800888600806,24800888600800,2359.29,2642.40,18.35,19.50
21001914,KNORR SINIGANG GABI 24X12X11G,288,4800888605078,24800888605072,1028.57,1152.00,4.00,4.40
65025107,KNORR CIS MLMKR SNGNG ORGNL 288x10G,288,4800888603692,24800888603696,1028.57,1152.00,4.00,4.40
65004594,KNORR SOY LQD SNSNG ORGNL DOY 24X250ML,24,4800888602879,24800888602873,1255.71,1406.40,58.60,65.00
65004750,KNORR SOY LQD SNSNGORGNL24X130ML,24,4808680230764,14808680230761,795.00,890.40,37.10,40.50
65004749,KNORR SOY LQD SNSNGORGNL24X250ML,24,4808680230979,14808680230976,1350.00,1512.00,63.00,70.00
65004751,KNORR SOY LQD SNSNG ORGNL 12X500ML,12,4808680233000,14808680233007,1178.57,1320.00,110.00,120.75
65004752,KNORR LIQUID SEASONING ORIGINAL 6X1L,6,4808680230603,14808680233038,1071.96,1200.60,200.10,219.00
65004500,KNORR RGLR DRY SOUP CHCKN N CRN 60X60G,60,4808680210759,14808680210756,2397.32,2685.00,44.75,46.80
65004501,KNORR RGLR DRY SOUP CRAB N CRN 72X40G,72,4808680211251,14808680211258,2102.14,2354.40,32.70,34.20
65004502,KNORR RGLR DRY SOUP CRAB N CRN 60X60G,60,4808680210957,14808680210954,2397.32,2685.00,44.75,46.80
65004504,KNORR RGLR DRY SOUP NIDO ORNTL 72X40G,72,4808680211206,14808680211203,2102.14,2354.40,32.70,34.20
